state,year,dissolved_oxygen,bod,fecal_coliform,source_file
Uttar Pradesh,2020,7.6,,13000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,9.1,,22000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,8.2,,31500.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,8.5,,35000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,8.2,,44500.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,8.6,,13000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.2,,57000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,8.0,,22000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,8.3,,2600.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.8,,22000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.2,,60000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.1,,107000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.5,,31500.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,8.8,,11000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.8,,17000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.3,,7500.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,6.3,,17500.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.9,,35000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.1,,17000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.5,,13000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,8.1,,19500.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.7,,35000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,6.9,,11000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.8,,7900.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.8,,14000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.6,,35000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.8,,41000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.3,,160000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,8.1,,73000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,6.5,,22000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,7.1,,17000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,6.8,,160000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,9.2,,24000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2020,9.0,,17000.0,RS_Session_255_AU_90.1 (1).csv
Jharkhand,2020,8.6,,,RS_Session_255_AU_90.1 (1).csv
Jharkhand,2020,8.4,,,RS_Session_255_AU_90.1 (1).csv
Jharkhand,2020,8.4,,,RS_Session_255_AU_90.1 (1).csv
Jharkhand,2020,8.6,,,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,6.9,,64500.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,7.6,,49000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,7.4,,25000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,6.8,,35500.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,6.9,,17000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,5.7,,94000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,6.1,,29500.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,5.8,,24500.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,6.4,,80000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,5.2,,70000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,5.5,,70000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,5.7,,20000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2020,6.3,,7450.0,RS_Session_255_AU_90.1 (1).csv
